店舗:,どMバスターズ
日付,時間,出勤数,待機
2023-04-16,18:13,25,10
2023-04-16,19:14,26,12
2023-04-16,20:11,26,12
2023-04-16,21:26,24,16
2023-04-16,22:16,24,2
2023-04-17,00:13,14,14
2023-04-17,01:18,14,14
2023-04-17,02:12,8,8
2023-04-17,03:17,0,0
2023-04-17,04:11,0,0
2023-04-17,05:14,0,0
2023-04-17,06:12,0,0
2023-04-17,07:13,0,0
2023-04-17,08:14,0,0
2023-04-17,10:14,0,0
2023-04-17,11:31,0,0
2023-04-17,12:15,16,2
2023-04-17,13:18,16,6
2023-04-17,14:14,16,14
2023-04-17,15:19,16,16
2023-04-17,16:14,16,16
2023-04-17,17:19,16,16
2023-04-17,18:15,16,16
2023-04-17,19:16,16,16
2023-04-17,20:12,16,16
2023-04-17,21:30,16,16
2023-04-17,22:18,16,16
2023-04-17,23:14,16,16
2023-04-18,00:15,16,16
2023-04-18,01:19,16,16
2023-04-18,02:13,8,8
2023-04-18,03:18,0,0
2023-04-18,04:10,0,0
2023-04-18,05:15,0,0
2023-04-18,06:12,0,0
2023-04-18,07:13,0,0
2023-04-18,08:14,0,0
2023-04-18,10:12,0,0
2023-04-18,11:30,16,2
2023-04-18,12:15,16,2
2023-04-18,13:18,16,6
2023-04-18,14:13,16,16
2023-04-18,15:19,16,16
2023-04-18,16:13,16,16
2023-04-18,17:19,16,16
2023-04-18,18:14,16,16
2023-04-18,19:15,16,16
2023-04-18,20:12,14,14
2023-04-18,21:29,14,14
2023-04-18,22:18,12,12
2023-04-18,23:16,12,12
2023-04-19,00:17,12,12
2023-04-19,01:17,12,12
2023-04-19,02:11,6,6
2023-04-19,03:18,0,0
2023-04-19,04:12,0,0
2023-04-19,05:16,0,0
2023-04-19,06:13,0,0
2023-04-19,07:14,0,0
2023-04-19,08:14,0,0
2023-04-19,10:14,0,0
2023-04-19,11:33,20,2
2023-04-19,12:15,20,2
2023-04-19,13:18,20,6
2023-04-19,14:14,20,12
2023-04-19,15:19,22,20
2023-04-19,16:13,22,20
2023-04-19,17:19,22,20
2023-04-19,18:15,24,22
2023-04-19,19:16,24,24
2023-04-19,20:12,24,24
2023-04-19,21:29,24,24
2023-04-19,22:18,24,24
2023-04-19,23:14,24,24
2023-04-20,00:15,24,24
2023-04-20,01:19,24,24
2023-04-20,02:13,14,14
2023-04-20,03:18,0,0
2023-04-20,04:12,0,0
2023-04-20,05:15,0,0
2023-04-20,06:13,0,0
2023-04-20,07:14,0,0
2023-04-20,08:14,0,0
2023-04-20,10:11,0,0
2023-04-20,11:30,2,0
2023-04-20,12:15,2,2
2023-04-20,13:18,28,4
2023-04-20,14:14,26,12
2023-04-20,15:19,28,26
2023-04-20,16:13,28,26
2023-04-20,17:18,28,26
2023-04-20,18:14,28,28
2023-04-20,19:15,28,28
2023-04-20,20:12,28,28
2023-04-20,21:29,28,28
2023-04-20,22:18,28,28
2023-04-20,23:13,28,28
2023-04-21,00:15,28,28
2023-04-21,01:19,28,28
2023-04-21,02:12,12,12
2023-04-21,03:18,2,2
2023-04-21,04:12,0,0
2023-04-21,05:15,0,0
2023-04-21,06:12,0,0
2023-04-21,07:13,0,0
2023-04-21,08:14,0,0
2023-04-21,10:12,0,0
2023-04-21,11:31,24,0
2023-04-21,12:15,38,6
2023-04-21,13:18,38,16
2023-04-21,14:14,38,24
2023-04-21,15:19,38,38
2023-04-21,16:13,38,38
2023-04-21,17:18,38,38
2023-04-21,18:14,38,38
2023-04-21,19:15,38,38
2023-04-21,20:12,38,38
2023-04-21,21:28,38,38
2023-04-21,22:17,36,36
2023-04-21,23:13,36,36
2023-04-22,00:15,30,30
2023-04-22,01:19,26,26
2023-04-22,02:13,14,14
2023-04-22,03:18,0,0
2023-04-22,04:11,0,0
2023-04-22,05:15,0,0
2023-04-22,06:12,0,0
2023-04-22,07:13,0,0
2023-04-22,08:14,0,0
2023-04-22,10:14,0,0
2023-04-22,11:31,33,0
2023-04-22,12:15,33,3
2023-04-22,13:17,32,10
2023-04-22,14:13,32,16
2023-04-22,15:18,34,30
2023-04-22,16:12,34,30
2023-04-22,17:17,34,30
2023-04-22,18:13,34,32
2023-04-22,19:14,34,32
2023-04-22,20:11,34,34
2023-04-22,21:26,34,34
2023-04-22,22:16,34,34
2023-04-22,23:12,34,34
2023-04-23,00:13,30,30
2023-04-23,01:18,26,26
2023-04-23,02:12,14,14
2023-04-23,03:17,0,0
2023-04-23,04:11,0,0
2023-04-23,05:15,0,0
2023-04-23,06:12,0,0
2023-04-23,07:13,0,0
2023-04-23,08:14,0,0
2023-04-23,10:21,0,0
2023-04-23,11:38,30,0
2023-04-23,12:15,30,2
2023-04-23,13:18,30,12
2023-04-23,14:13,30,16
2023-04-23,15:18,30,26
2023-04-23,16:12,30,26
2023-04-23,17:17,24,24
2023-04-23,18:13,24,24
2023-04-23,19:14,24,24
2023-04-23,20:11,22,22
2023-04-23,21:27,22,22
2023-04-23,22:16,22,22
2023-04-23,23:12,22,22
2023-04-24,00:14,20,20
2023-04-24,01:18,18,18
2023-04-24,02:12,12,12
2023-04-24,03:17,0,0
2023-04-24,04:11,0,0
2023-04-24,05:14,0,0
2023-04-24,06:12,0,0
2023-04-24,07:13,0,0
2023-04-24,08:14,0,0
2023-04-24,10:15,0,0
2023-04-24,11:33,12,0
2023-04-24,12:15,18,4
2023-04-24,13:18,18,10
2023-04-24,14:14,18,16
2023-04-24,15:19,18,18
2023-04-24,16:14,24,24
2023-04-24,17:19,26,26
2023-04-24,18:15,26,26
